ticket,pclass,fare,cabin
349215,3,7.8958,
347076,3,7.775,
347087,3,7.775,
SOTON/O.Q. 392078,3,8.05,E10
349227,3,7.8958,
315095,3,8.6625,
315092,3,8.6625,
349223,3,7.8958,
65305,3,8.1125,
2629,3,7.2292,
362316,3,7.25,
349249,3,7.8958,
342684,3,8.05,
382652,3,29.125,
382652,3,29.125,
382652,3,29.125,
382652,3,29.125,
382652,3,29.125,
382652,3,29.125,
3101295,3,39.6875,
STON/O 2. 3101273,3,7.125,
334915,3,7.7208,
364498,3,14.5,
364498,3,14.5,
A/5. 3337,3,14.5,
A/5. 3337,3,14.5,
S.C./A.4. 23567,3,8.05,
312993,3,7.775,
370129,3,20.2125,
370129,3,20.2125,
370129,3,20.2125,
342712,3,8.05,
A/5 3594,3,8.05,
A/4. 20589,3,8.05,
383162,3,7.75,
371110,3,24.15,
2671,3,7.2292,
2672,3,7.225,
2676,3,7.225,
367655,3,7.7292,
LP 1588,3,7.575,
SOTON/O.Q. 3101262,3,7.25,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
CA. 2343,3,69.55,
7266,3,9.325,
343120,3,7.65,
3101296,3,7.925,
2662,3,21.6792,
2662,3,21.6792,
2662,3,21.6792,
PP 9549,3,16.7,G6
PP 9549,3,16.7,G6
PP 9549,3,16.7,G6
345768,3,9.5,
A/5. 2151,3,8.05,
342826,3,8.05,
36209,3,7.725,
349222,3,7.8958,
370374,3,7.75,
345779,3,9.5,
C.A. 6212,3,15.1,
330968,3,7.7792,
374910,3,8.05,
SOTON/OQ 392082,3,8.05,
2669,3,7.2292,
392092,3,8.05,
349251,3,7.8958,
STON/O 2. 3101280,3,7.925,
3101265,3,7.4958,
347088,3,27.9,
347088,3,27.9,
347088,3,27.9,
347088,3,27.9,
347088,3,27.9,
347088,3,27.9,
349214,3,7.8958,
SOTON/OQ 392086,3,8.05,
315037,3,8.6625,
384461,3,7.75,
335432,3,7.7333,
348124,3,7.65,F G73
A.5. 18509,3,8.05,
A.5. 3236,3,8.05,
STON/OQ. 369943,3,8.05,
349208,3,7.8958,
349239,3,8.6625,
CA. 2314,3,7.55,
A/4 45380,3,8.05,
3701,3,,
349205,3,7.8958,
7553,3,9.8375,
STON/O 2. 3101288,3,7.925,
315083,3,8.6625,
347054,3,10.4625,G6
347054,3,10.4625,G6
SOTON/OQ 392089,3,8.05,
STON/O 2. 3101269,3,7.925,
SOTON/OQ 392076,3,7.05,
347060,3,7.775,
7538,3,9.225,
350035,3,7.7958,
350033,3,7.7958,
363294,3,8.05,
2625,3,8.5167,
2621,3,6.4375,
2681,3,6.4375,
2684,3,7.225,
2625,3,8.5167,
32302,3,8.05,
376564,3,16.1,
376564,3,16.1,
STON/O 2. 3101293,3,7.925,
383121,3,7.75,F38
349216,3,7.8958,
364499,3,8.05,
364511,3,8.05,
2673,3,7.2292,
LINE,3,0.0,
2641,3,7.2292,
2650,3,15.2458,
2650,3,15.2458,
2650,3,15.2458,
349247,3,7.8958,
4138,3,9.8417,
4134,3,9.5875,
A/5. 851,3,14.5,
A/5. 851,3,14.5,
A/5. 851,3,14.5,
345773,3,24.15,
345773,3,24.15,
345773,3,24.15,
345777,3,9.5,
345780,3,9.5,
345770,3,9.5,
345783,3,9.5,
345765,3,9.0,
345764,3,18.0,
345763,3,18.0,
345764,3,18.0,
345763,3,18.0,
2658,3,7.225,
350416,3,7.8542,
350406,3,7.8542,
349252,3,7.8958,
345767,3,9.0,
359309,3,8.05,
C.A. 49867,3,7.55,
SOTON/OQ 3101316,3,8.05,
345775,3,9.5,
2688,3,7.2292,
347064,3,7.75,
3101267,3,6.4958,
3101266,3,6.4958,
363272,3,7.0,
3410,3,8.7125,
S.O./P.P. 751,3,7.55,
A/5 2466,3,8.05,
54636,3,16.1,
SOTON/OQ 3101317,3,7.25,
315154,3,8.6625,
A/4. 34244,3,7.25,
345771,3,9.5,
2659,3,14.4542,
2659,3,14.4542,
2628,3,7.225,
2647,3,7.225,
2627,3,14.4583,
2665,3,14.4542,
2665,3,14.4542,
2656,3,7.225,
2670,3,7.225,
315082,3,7.875,
